,ID,Host Since,property_type,city_orig,state_orig,country_code,Country,Latitude,Longitude,postal_code,Geolocation,host_since_year,City,State,zip_latitude,zip_longitude
0,12272704,2014-06-25,Apartment,Genève,Genève,CH,Switzerland,46.18753568523688,6.157332313349669,1206,"46.18753568523688, 6.157332313349669",2014.0,Genève,Genève,46.1894,6.1574
1,11157603,2014-11-23,Apartment,Genève,Genève,CH,Switzerland,46.20297568305871,6.157911354338207,1207,"46.20297568305871, 6.157911354338207",2014.0,Genève,Genève,46.2066,6.1624
2,14108281,2016-07-20,Apartment,Genève,Genève,CH,Switzerland,46.202006997357365,6.136063889921736,1205,"46.202006997357365, 6.136063889921736",2016.0,Genève,Genève,46.1961,6.1403
3,8841024,2013-08-31,Apartment,Genève,Genève,CH,Switzerland,46.21287283563846,6.143041141597691,1201,"46.21287283563846, 6.143041141597691",2013.0,Genève,Genève,46.2107,6.1469
4,7721773,2015-08-05,Apartment,Genève,Genève,CH,Switzerland,46.21129041358477,6.1484228301163935,1201,"46.21129041358477, 6.1484228301163935",2015.0,Genève,Genève,46.2107,6.1469
5,9971799,2015-12-13,Apartment,Genève,Genève,CH,Switzerland,46.195299740201094,6.153602862794965,1206,"46.195299740201094, 6.153602862794965",2015.0,Genève,Genève,46.1894,6.1574
6,1872392,2013-07-16,Apartment,Geneva,Geneva,CH,Switzerland,46.21179784422968,6.1325888757275475,1202,"46.21179784422968, 6.1325888757275475",2013.0,Genève,Genève,46.221,6.1432
7,13600954,2016-06-19,Apartment,Genève,Genève,CH,Switzerland,46.210782518193206,6.146292824099226,1201,"46.210782518193206, 6.146292824099226",2016.0,Genève,Genève,46.2107,6.1469
8,14225439,2014-10-06,Apartment,Genève,Genève,CH,Switzerland,46.20625527688278,6.163435853371449,1207,"46.20625527688278, 6.163435853371449",2014.0,Genève,Genève,46.2066,6.1624
9,4272166,2013-01-23,Apartment,Geneva,Geneva,CH,Switzerland,46.19525949789169,6.155528967503194,1206,"46.19525949789169, 6.155528967503194",2013.0,Genève,Genève,46.1894,6.1574
10,13805741,2014-12-07,Apartment,Genève,Genève,CH,Switzerland,46.20367453263912,6.148917584457079,1204,"46.20367453263912, 6.148917584457079",2014.0,Genève,Genève,46.2027,6.1457
11,3208201,2012-12-15,Apartment,Geneva,Geneva,CH,Switzerland,46.196674116722726,6.140017724650854,1205,"46.196674116722726, 6.140017724650854",2012.0,Genève,Genève,46.1961,6.1403
